date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:17	48997/48997	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html	(from )
18:00:17	24/24	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2011:05:30%20GMT	https://p.w3layouts.com/robots.txt		(from )
18:00:17	27954/27954	---MCZ	200	added ('OK')	text/css	etag:W/%225a9e4a64-6d32%22	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/shop.css	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/shop.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:18	141622/141622	---MCZ	200	added ('OK')	text/css	etag:W/%225a9e4a64-22936%22	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/bootstrap.css	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:18	64370/64370	---MCZ	200	added ('OK')	text/css	etag:W/%225a9e4a64-fb72%22	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/style.css	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:18	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%225a9e4a64-9226%22	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/font-awesome.css	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/css/font-awesome.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:19	222/222	---MC-	200	added ('OK')	text/css	date:Tue,%2008%20Jul%202025%2013:00:16%20GMT	http://fonts.googleapis.com/css?family=Fredericka+the+Great	C:/My%20Web%20Sites/chronicle2/fonts.googleapis.com/css7f00.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:19	1852/1852	---MC-	200	added ('OK')	text/css	date:Tue,%2008%20Jul%202025%2013:00:16%20GMT	http://fonts.googleapis.com/css?family=Merriweather+Sans:300,300i,400,400i,700,700i,800,800i	C:/My%20Web%20Sites/chronicle2/fonts.googleapis.com/css3650.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:19	2850/2850	---MC-	200	added ('OK')	text/css	date:Tue,%2008%20Jul%202025%2013:00:17%20GMT	http://fonts.googleapis.com/css?family=Roboto:100,100i,300,300i,400,400i,500,500i,700,700i,900,900i	C:/My%20Web%20Sites/chronicle2/fonts.googleapis.com/cssad13.css	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:20	53968/53968	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/about.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/about.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:20	45048/45048	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/shop.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/shop.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:20	25797/25797	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/single_product.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/single_product.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:21	31955/31955	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/checkout.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/checkout.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:21	25897/25897	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/payment.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/payment.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:21	19238/19238	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:22	15847/15847	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer1.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer1.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:22	25454/25454	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer2.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer2.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:22	18067/18067	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer3.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer3.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:22	18772/18772	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer4.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/footer4.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
18:00:23	23703/23703	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Mar%202018%2007:59:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/contact.html	C:/My%20Web%20Sites/chronicle2/p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/contact.html	(from https://p.w3layouts.com/demos_new/template_demo/06-03-2018/chronicle-demo_Free/82078902/web/index.html)
